Date,Country,Value
1/1/2000,Australia,1.5244
2/1/2000,Australia,1.5929
3/1/2000,Australia,1.641
4/1/2000,Australia,1.6779
5/1/2000,Australia,1.7289
6/1/2000,Australia,1.681
7/1/2000,Australia,1.7036
8/1/2000,Australia,1.7218
9/1/2000,Australia,1.8113
10/1/2000,Australia,1.8939
11/1/2000,Australia,1.9164
12/1/2000,Australia,1.8295
1/1/2001,Australia,1.8012
2/1/2001,Australia,1.8734
3/1/2001,Australia,1.9877
4/1/2001,Australia,1.9936
5/1/2001,Australia,1.9234
6/1/2001,Australia,1.9305
7/1/2001,Australia,1.965
8/1/2001,Australia,1.9062
9/1/2001,Australia,1.9857
10/1/2001,Australia,1.9833
11/1/2001,Australia,1.9361
12/1/2001,Australia,1.9463
1/1/2002,Australia,1.9342
2/1/2002,Australia,1.9501
3/1/2002,Australia,1.9026
4/1/2002,Australia,1.8685
5/1/2002,Australia,1.8188
6/1/2002,Australia,1.7599
7/1/2002,Australia,1.8057
8/1/2002,Australia,1.8474
9/1/2002,Australia,1.8298
10/1/2002,Australia,1.8175
11/1/2002,Australia,1.7816
12/1/2002,Australia,1.7781
1/1/2003,Australia,1.7156
2/1/2003,Australia,1.679
3/1/2003,Australia,1.6625
4/1/2003,Australia,1.6393
5/1/2003,Australia,1.5461
6/1/2003,Australia,1.5033
7/1/2003,Australia,1.5135
8/1/2003,Australia,1.5342
9/1/2003,Australia,1.5072
10/1/2003,Australia,1.4393
11/1/2003,Australia,1.397
12/1/2003,Australia,1.353
1/1/2004,Australia,1.2958
2/1/2004,Australia,1.287
3/1/2004,Australia,1.334
4/1/2004,Australia,1.3435
5/1/2004,Australia,1.4207
6/1/2004,Australia,1.4415
7/1/2004,Australia,1.3965
8/1/2004,Australia,1.4063
9/1/2004,Australia,1.4229
10/1/2004,Australia,1.363
11/1/2004,Australia,1.298
12/1/2004,Australia,1.3029
1/1/2005,Australia,1.3041
2/1/2005,Australia,1.2801
3/1/2005,Australia,1.2742
4/1/2005,Australia,1.2923
5/1/2005,Australia,1.305
6/1/2005,Australia,1.3043
7/1/2005,Australia,1.3291
8/1/2005,Australia,1.3134
9/1/2005,Australia,1.307
10/1/2005,Australia,1.3271
11/1/2005,Australia,1.36
12/1/2005,Australia,1.3472
1/1/2006,Australia,1.3324
2/1/2006,Australia,1.3481
3/1/2006,Australia,1.3763
4/1/2006,Australia,1.357
5/1/2006,Australia,1.3091
6/1/2006,Australia,1.3515
7/1/2006,Australia,1.3284
8/1/2006,Australia,1.3104
9/1/2006,Australia,1.3247
10/1/2006,Australia,1.3256
11/1/2006,Australia,1.294
12/1/2006,Australia,1.2726
1/1/2007,Australia,1.2778
2/1/2007,Australia,1.2771
3/1/2007,Australia,1.2607
4/1/2007,Australia,1.2088
5/1/2007,Australia,1.2115
6/1/2007,Australia,1.1872
7/1/2007,Australia,1.1525
8/1/2007,Australia,1.2061
9/1/2007,Australia,1.1819
10/1/2007,Australia,1.1116
11/1/2007,Australia,1.1159
12/1/2007,Australia,1.1469
1/1/2008,Australia,1.1334
